Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
79545.4585743168,5.6828613216,7.0091881428,4.09,23086.8005026865,1059033.55787012
79248.6424548257,6.0028998083,6.7308210191,3.09,40173.0721736448,1505890.91484695
61287.0671786568,5.8658898403,8.5127274304,5.13,36882.1593997046,1058987.98787608
63345.240046228,7.1882360945,5.5867286648,3.26,34310.2428309071,1260616.80662945
59982.197225708,5.0405545231,7.8393877851,4.23,26354.1094721031,630943.48933854
80175.7541594853,4.9884077575,6.1045124394,4.04,26748.4284246897,1068138.07439353
64698.4634278877,6.0253359069,8.147759585,3.41,60828.2490854072,1502055.81737441
78394.3392775309,6.9897797477,6.6204779952,2.42,36516.3589724938,1573936.56447772
59927.6608133496,5.3621255696,6.3931209806,2.3,29387.3960028158,798869.532833163
81885.9271840957,4.4236717899,8.1676880035,6.1,40149.9657492134,1545154.81264196
80527.4720829229,8.0935126806,5.0427467996,4.1,47224.3598402219,1707045.72215806
50593.6954970428,4.4965127931,7.467627404,4.49,34343.9918855788,663732.396896327
39033.8092369824,7.6717553729,7.2500293173,3.1,39220.3614673725,1042814.09782009
73163.6634410467,6.9195348255,5.9931879009,2.27,32326.1231394881,1291331.51848582
69391.3801843616,5.3447761767,8.4064177145,4.37,35521.2940331732,1402818.21016585
73091.8667458232,5.4431564665,8.5175127111,4.01,23929.524053268,1306674.6599512
79706.9630576574,5.0678895911,8.2197711233,3.12,39717.8135763095,1556786.60019477
61929.0770180893,4.7885502418,5.0970095544,4.3,24595.901497823,528485.246730596
63508.19429943,5.9471651396,7.1877738353,5.12,35719.6530520309,1019425.93675783
62085.2764034049,5.7394108436,7.0918081042,5.49,44922.1067022931,1030591.42921161
86294.9990887106,6.6274569398,8.0118978532,4.07,47560.7753362952,2146925.33988866
60835.089978854,5.551221592,6.5171750381,2.1,45574.741662258,929247.5995364
64490.6502667551,4.2103228701,5.4780877308,4.31,40358.9601056176,718887.231500928
60697.3515394483,6.1704840908,7.1505365723,6.34,28140.9670877247,743999.819160197
59748.8554869742,5.3393398807,7.7486816056,4.23,27809.9865437589,895737.133383508
56974.4765387964,8.2875621938,7.3128799715,4.33,40694.8695130223,1453974.50595087
82173.626075846,4.0185246849,6.9926987568,2.03,38853.9180664817,1125692.50729529
64626.8809781355,5.4433595902,6.9887535387,4,27784.7422801859,975429.492792922
90499.0574513475,6.3843589207,4.2421913016,3.04,33970.1649903713,1240763.76557148
59323.7920997004,6.9778279402,8.2736970778,4.07,37520.6577324497,1577017.76000155
77811.5220345745,5.3144602148,6.686686133,3.24,33754.7378049846,1246830.18842863
68652.6092109066,6.1243421003,6.290820167,4.42,39355.6257294703,1170720.89365429
55041.3515833392,7.1271285527,8.5919232941,5.36,30122.4734835579,1071279.21024454
50218.7084630007,6.1188081306,7.3335540721,6.29,16810.7833112579,534305.132334929
55909.3222951535,5.4195629107,9.2898543723,6,22355.2354066691,936368.963404861
74372.8102091551,5.5001285728,6.5930456039,2.07,39395.1511823291,1199193.83132951
78667.9045976474,5.4706522068,7.7808366929,4.1,27637.656548219,1233220.00947781
78699.5151029104,5.6527836365,6.7564538563,3.01,22836.6075694913,1081150.12548381
53128.1854489144,5.1806641248,5.4269028586,2.39,32947.7119550689,524712.766067453
17796.6311895434,4.9495570056,6.7139054447,2.5,47162.1836431914,302355.835978956
58566.8493634206,6.5796914529,5.0345253519,2.17,39705.4649593564,1026817.39978846
75537.7945100003,7.8452159144,7.5556607208,6.3,32778.1953418883,1762214.67958189
46147.0530563434,6.6233328293,7.6068315497,4.43,27161.1286079462,882057.170592842
70421.4764876077,6.90708297,7.6343187314,4.44,43183.928487881,1744932.21099093
62614.4206191273,5.4993096971,7.4405052179,6.32,26888.5795629391,1153871.46950163
66394.8715858483,7.0695121538,7.2046397092,3.18,39741.0775094335,1499988.87952261
73946.8510739782,4.8631543061,7.5371823654,6.35,35261.1270183689,1109588.38016251
69144.7457074398,7.2962244969,5.928223473,3.22,19030.6154867746,980177.305137126
77278.6970281866,6.2388910148,6.9192041364,2.13,21725.9542896347,1323952.02742518
86754.1966286121,6.6044398186,6.2524548053,4.02,43017.4407571536,1662494.73554439